task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.04665820607873498,-0.13651689198612976,0.05063568825179477
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.025902110249334826,-0.07099291553683151,0.11762148484706221
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,275,-0.0514746892645439,-0.11752186191163538,0.024889220727255787
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,275,-0.08674147086527458,-0.15656795520321537,-0.010903906481993119
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,-0.10655416028339497,-0.17362135133868992,-0.03173354768306896
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.12362395082660098,-0.19468158533495475,-0.04560142892388486
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,-0.05106363449853117,-0.1468949005072901,0.037234287898947914
task2,test,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,275,-0.03526678160073067,-0.11084351233065193,0.03900781295069783
task2,test,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,-0.05507947101885106,-0.14281820770267742,0.029583629355260186
task2,test,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.07214926156205706,-0.1361450673535516,-0.008197955321355048
task2,test,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.0004110547660127337,-0.13798641477629645,0.1037830792613801
task2,test,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,-0.01981268941812038,-0.10198901413717777,0.06393643012717592
task2,test,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.036882479961326396,-0.11481021326722965,0.046218941181890745
task2,test,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.035677836366743404,-0.059709405915911715,0.12809935199261255
task2,test,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,-0.017069790543206013,-0.1033670054224037,0.08193153769424757
task2,test,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.05549052578486379,-0.0445568304656297,0.1488908982148016
task2,test,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.07256031632806981,-0.07940615448995003,0.19930574470291634
